id,eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,gname,guncertain1,individual,weaptype1,weaptype1_txt,nkill,property,ishostkid,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
133,197003140002,1970,3,14,0,60,Egypt,10,Middle East & North Africa,Alexandria,Alexandria,31.198056,29.919166999999998,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,6,Airports & Aircraft,42.0,Aircraft (not at an airport),United Arab Airlines Flight Antonov 24 Acft,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,PGIS,-9,-9,0,-9
1092,197111280001,1971,11,28,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,1,Assassination,2,Government (General),17.0,Head of State,"Jordanian Prime Minister, Wasfi Tal",60.0,Egypt,Black September,0.0,0,5,Firearms,1.0,0,0.0,PGIS,1,1,0,1
1181,197202190001,1972,2,19,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,0,0,4,Hijacking,6,Airports & Aircraft,42.0,Aircraft (not at an airport),Caravelle,102.0,Jordan,Jordanian National Liberation Movement,0.0,0,6,Explosives,0.0,0,1.0,Hijacking DB,0,1,1,1
5603,197712050001,1977,12,5,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,1,Assassination,10,Journalists & Media,53.0,Newspaper Journalist/Staff/Facility,"David Holden, Chief of Foreign Correspondents",216.0,Great Britain,Unknown,0.0,0,5,Firearms,1.0,0,0.0,PGIS,-9,-9,1,1
6797,197809300002,1978,9,30,0,60,Egypt,10,Middle East & North Africa,North Sinai,Yamit,31.275278000000004,34.167778000000006,1.0,1,1,1,1,-9.0,0.0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,79.0,"Public Area (garden, parking lot, garage, beach, public building, camp)",beach at yamit,97.0,Israel,Palestinians,0.0,0,6,Explosives,0.0,1,0.0,PGIS,1,0,1,1
6811,197810010002,1978,10,1,0,60,Egypt,10,Middle East & North Africa,,Unknown,30.608471999999995,33.617577000000004,4.0,0,1,1,0,1.0,0.0,1,0,3,Bombing/Explosion,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,Military installation near Eilat,97.0,Israel,Palestinians,0.0,0,5,Firearms,2.0,1,1.0,PGIS,1,0,1,1
8111,197904190003,1979,4,19,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,2,Government (General),21.0,Government Building/Facility/Office,Main Post Office,60.0,Egypt,Eagles of the Palestinian Revolution,0.0,0,6,Explosives,1.0,1,0.0,PGIS,1,1,0,1
9947,198001060001,1980,1,6,0,60,Egypt,10,Middle East & North Africa,,Alexandria,31.198056,29.919166999999998,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,PGIS,-9,-9,0,-9
9948,198001060002,1980,1,6,0,60,Egypt,10,Middle East & North Africa,Alexandria,Alexandria,31.198056,29.919166999999998,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,,60.0,Egypt,Unknown,0.0,0,6,Explosives,1.0,1,0.0,PGIS,-9,-9,0,-9
10857,198004300001,1980,4,30,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,Synagogue,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,PGIS,-9,-9,0,-9
